value,count,cum_count,cum_normalized
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,8,8,7.19683E-05
5,32,40,0.000359842
6,150,190,0.001709248
7,324,514,0.004623965
8,496,1010,0.009086002
9,795,1805,0.016237855
10,1184,2989,0.026889169
11,1485,4474,0.040248291
12,1686,6160,0.055415617
13,1744,7904,0.071104714
14,1701,9605,0.086406981
15,1764,11369,0.102275999
16,1753,13122,0.11804606
17,1774,14896,0.134005038
18,1785,16681,0.150062972
19,1810,18491,0.166345808
20,1794,20285,0.182484707
21,1648,21933,0.197310184
22,1543,23476,0.211191076
23,1526,25002,0.224919036
24,1346,26348,0.237027708
25,1356,27704,0.24922634
26,1230,28934,0.260291472
27,1074,30008,0.269953221
28,1036,31044,0.27927312
29,957,32001,0.287882332
30,882,32883,0.295816841
31,863,33746,0.303580425
32,819,34565,0.310948183
33,806,35371,0.318198992
34,817,36188,0.325548759
35,812,37000,0.332853544
36,848,37848,0.340482188
37,844,38692,0.348074847
38,872,39564,0.355919395
39,944,40508,0.364411659
40,973,41481,0.373164807
41,983,42464,0.382007917
42,1006,43470,0.391057935
43,1133,44603,0.40125045
44,1087,45690,0.411029147
45,1144,46834,0.421320619
46,1093,47927,0.431153293
47,1066,48993,0.440743073
48,995,49988,0.449694135
49,1042,51030,0.45906801
50,958,51988,0.467686218
51,893,52881,0.475719683
52,875,53756,0.48359122
53,882,54638,0.491525729
54,878,55516,0.499424253
55,806,56322,0.506675063
56,820,57142,0.514051817
57,855,57997,0.521743433
58,872,58869,0.529587981
59,909,59778,0.537765383
60,875,60653,0.54563692
61,859,61512,0.55336452
62,811,62323,0.560660309
63,852,63175,0.568324937
64,806,63981,0.575575747
65,753,64734,0.582349766
66,813,65547,0.589663548
67,804,66351,0.596896366
68,907,67258,0.605055775
69,880,68138,0.612972292
70,851,68989,0.620627924
71,870,69859,0.62845448
72,865,70724,0.636236056
73,717,71441,0.642686218
74,700,72141,0.648983447
75,745,72886,0.655685498
76,721,73607,0.662171644
77,681,74288,0.668297949
78,680,74968,0.674415257
79,727,75695,0.68095538
80,774,76469,0.687918316
81,817,77286,0.695268082
82,758,78044,0.702087082
83,776,78820,0.70906801
84,741,79561,0.715734077
85,799,80360,0.722921914
86,821,81181,0.730307665
87,802,81983,0.73752249
88,817,82800,0.744872256
89,934,83734,0.753274559
90,871,84605,0.761110112
91,800,85405,0.768306945
92,707,86112,0.774667146
93,582,86694,0.779902843
94,483,87177,0.784247931
95,403,87580,0.787873336
96,325,87905,0.790797049
97,229,88134,0.792857143
98,186,88320,0.794530407
99,151,88471,0.795888809
100,117,88588,0.796941346
101,112,88700,0.797948902
102,90,88790,0.798758546
103,100,88890,0.79965815
104,87,88977,0.800440806
105,77,89054,0.801133501
106,66,89120,0.80172724
107,45,89165,0.802132062
108,51,89216,0.80259086
109,51,89267,0.803049658
110,60,89327,0.803589421
111,59,89386,0.804120187
112,54,89440,0.804605973
113,48,89488,0.805037783
114,51,89539,0.805496582
115,36,89575,0.805820439
116,44,89619,0.806216265
117,39,89658,0.80656711
118,44,89702,0.806962936
119,56,89758,0.807466715
120,39,89797,0.80781756
121,52,89849,0.808285354
122,33,89882,0.808582224
123,49,89931,0.80902303
124,50,89981,0.809472832
125,31,90012,0.809751709
126,66,90078,0.810345448
127,53,90131,0.810822238
128,47,90178,0.811245052
129,49,90227,0.811685858
130,51,90278,0.812144656
131,58,90336,0.812666427
132,41,90377,0.813035264
133,57,90434,0.813548039
134,69,90503,0.814168766
135,70,90573,0.814798489
136,67,90640,0.815401223
137,57,90697,0.815913998
138,80,90777,0.816633681
139,64,90841,0.817209428
140,45,90886,0.81761425
141,66,90952,0.818207988
142,56,91008,0.818711767
143,62,91070,0.819269521
144,55,91125,0.819764304
145,74,91199,0.820430011
146,82,91281,0.821167686
147,95,91376,0.82202231
148,111,91487,0.823020871
149,118,91605,0.824082404
150,124,91729,0.825197913
151,132,91861,0.82638539
152,155,92016,0.827779777
153,151,92167,0.829138179
154,180,92347,0.830757467
155,199,92546,0.832547679
156,198,92744,0.834328895
157,225,92969,0.836353005
158,244,93213,0.838548039
159,328,93541,0.841498741
160,493,94034,0.845933789
161,625,94659,0.851556315
162,827,95486,0.858996042
163,913,96399,0.867209428
164,886,97285,0.875179921
165,704,97989,0.881513134
166,610,98599,0.88700072
167,351,98950,0.89015833
168,247,99197,0.892380353
169,241,99438,0.894548399
170,207,99645,0.896410579
171,173,99818,0.897966895
172,166,99984,0.899460237
173,204,100188,0.90129543
174,203,100391,0.903121626
175,220,100611,0.905100756
176,247,100858,0.907322778
177,377,101235,0.910714286
178,545,101780,0.915617128
179,836,102616,0.923137819
180,1116,103732,0.933177402
181,1293,105025,0.944809284
182,1150,106175,0.955154732
183,1077,107252,0.964843469
184,862,108114,0.972598057
185,714,108828,0.979021231
186,680,109508,0.985138539
187,619,110127,0.990707089
188,542,110669,0.995582944
189,271,110940,0.998020871
190,155,111095,0.999415257
191,51,111146,0.999874055
192,12,111158,0.999982008
193,2,111160,1
194,0,111160,1
195,0,111160,1
196,0,111160,1
197,0,111160,1
198,0,111160,1
199,0,111160,1
200,0,111160,1
201,0,111160,1
202,0,111160,1
203,0,111160,1
204,0,111160,1
205,0,111160,1
206,0,111160,1
207,0,111160,1
208,0,111160,1
209,0,111160,1
210,0,111160,1
211,0,111160,1
212,0,111160,1
213,0,111160,1
214,0,111160,1
215,0,111160,1
216,0,111160,1
217,0,111160,1
218,0,111160,1
219,0,111160,1
220,0,111160,1
221,0,111160,1
222,0,111160,1
223,0,111160,1
224,0,111160,1
225,0,111160,1
226,0,111160,1
227,0,111160,1
228,0,111160,1
229,0,111160,1
230,0,111160,1
231,0,111160,1
232,0,111160,1
233,0,111160,1
234,0,111160,1
235,0,111160,1
236,0,111160,1
237,0,111160,1
238,0,111160,1
239,0,111160,1
240,0,111160,1
241,0,111160,1
242,0,111160,1
243,0,111160,1
244,0,111160,1
245,0,111160,1
246,0,111160,1
247,0,111160,1
248,0,111160,1
249,0,111160,1
250,0,111160,1
251,0,111160,1
252,0,111160,1
253,0,111160,1
254,0,111160,1
255,0,111160,1
,111160,,
